inst;dist_p_value;dist_effSize;dist_mag;t_p_value;t_effSize;t_mag
C103_21x;0.0007125882485906751;0.43791768145936294;2;9.918628618948064e-11;0.8359935680982477;-3
C104_21x;8.69396838850116e-09;0.7438473222080854;3;3.0198593591621506e-11;0.8588975014708022;-3
C105_21x;1.394843119402309e-09;0.7827903458674197;3;9.918628618948064e-11;0.8359935680982477;-3
C106_21x;5.39914722160538e-08;0.7029537743371271;3;3.0198593591621506e-11;0.8588975014708022;-3
C107_21x;1.6483737711294587e-08;0.7297678447595728;3;3.0198593591621506e-11;0.8588975014708022;-3
C108_21x;3.762726218134917e-08;0.7112134416720096;3;3.0198593591621506e-11;0.8588975014708022;-3
C109_21x;3.142784346208401e-10;0.8131944221551098;3;3.0179667984904466e-11;0.8589094341660031;-3
C201_21x;3.420508513287062e-10;0.8114963211202946;3;3.0198593591621506e-11;0.8588975014708022;-3
C202_21x;7.571311718583662e-09;0.7468573884970853;3;3.0198593591621506e-11;0.8588975014708022;-3
C203_21x;1.609477846443546e-10;0.826496193015869;3;3.0198593591621506e-11;0.8588975014708022;-3
C204_21x;4.6039496048940344e-11;0.8508448940508321;3;3.0198593591621506e-11;0.8588975014708022;-3
C205_21x;1.4274462693771212e-08;0.7329564168947313;3;3.0198593591621506e-11;0.8588975014708022;-3
C206_21x;6.779643510739688e-08;0.6976931846200314;3;3.0198593591621506e-11;0.8588975014708022;-3
C207_21x;5.964422257650967e-09;0.7520229268031227;3;3.0198593591621506e-11;0.8588975014708022;-3
C208_21x;4.3868327704910955e-06;0.593799880201848;3;3.0198593591621506e-11;0.8588975014708022;-3
Avg;;;;;;
R101_21x;0.004637118106215594;0.36646293396087565;2;3.324153049077897e-06;0.6012282510295616;-3
R102_21x;0.003033947579442648;0.38364088399029167;2;1.027379139328876e-06;0.6317756060198823;-3
R103_21x;0.00014066868942295497;0.4924345675099267;2;7.738685688576627e-06;0.578324317657007;-3
R104_21x;4.083953451828031e-05;0.5306077897975179;3;1.6132250444697856e-10;0.8264502625263498;-3
R105_21x;0.033871802753070175;0.27485101893312097;1;2.195037915868233e-07;0.6699493586494824;-3
R106_21x;3.157270479973462e-05;0.5382424342550362;3;0.05942791516895244;0.24430862264058376;0
R107_21x;0.003033947579442648;0.38364088399029167;2;8.890991323298917e-10;0.7920943624675176;-3
R108_21x;0.013831619802975427;0.3187464061013866;2;3.1967402228021827e-09;0.7653731068662039;-3
R109_21x;0.0004981816723342357;0.45044402299357633;2;4.1996766179584227e-10;0.8073636513825542;-3
R110_21x;0.14944870623046316;0.18704878920919693;0;4.077164846825323e-11;0.8531715181276637;-3
R111_21x;0.016954880587293254;0.30920310052948885;2;3.645891492506249e-08;0.7119305956635761;-3
R112_21x;6.356042543170051e-05;0.5172471619968609;3;1.3111030420756124e-08;0.7348345290361309;-3
R201_21x;0.08920097078822134;0.2203833693566252;0;3.0198593591621506e-11;0.8588975014708022;-3
R202_21x;6.957663205518587e-05;0.5144770962258729;3;3.0198593591621506e-11;0.8588975014708022;-3
R203_21x;0.00010397337221951327;0.5020057708156433;3;3.0198593591621506e-11;0.8588975014708022;-3
R204_21x;0.053935608903622215;0.24986571100315272;0;3.0198593591621506e-11;0.8588975014708022;-3
R205_21x;0.8878062367861157;0.01917203416593412;0;3.0198593591621506e-11;0.8588975014708022;-3
R206_21x;0.0028753398791245247;0.3857693429679929;2;3.0198593591621506e-11;0.8588975014708022;-3
R207_21x;0.006388891863855771;0.3530269780739884;2;3.0198593591621506e-11;0.8588975014708022;-3
